simulation-time real-time total unconfirmed
1 0.213564 0 0
2 0.233559 5 5
3 0.271214 10 10
4 0.300832 15 13
5 0.364193 20 17
6 0.373821 25 16
7 0.385433 31 17
8 0.396244 35 21
9 0.408327 40 23
10 0.416123 45 27
11 0.425225 50 29
12 0.435826 56 32
13 0.681162 60 32
14 0.782889 65 33
15 0.940309 70 38
16 0.949897 75 39
17 0.964447 81 43
18 0.977845 85 45
19 0.993024 90 43
20 1.0016 95 48
21 1.01117 100 48
22 1.02247 106 53
23 1.42527 110 53
24 1.5413 115 55
25 1.7243 120 57
26 1.7342 125 57
27 1.75363 131 60
28 1.76839 135 57
29 1.78241 140 62
30 1.7917 145 62
31 1.80357 150 53
32 1.81587 156 57
33 2.25763 160 58
34 2.37905 165 59
35 2.53798 170 62
36 2.54804 175 61
37 2.56704 181 66
38 2.58094 185 67
39 2.59568 190 68
40 2.6044 195 71
41 2.61476 200 69
42 2.62681 206 69
43 3.28039 210 66
44 3.4174 215 66
45 3.61533 220 69
46 3.6256 225 70
47 3.64638 231 73
48 3.66069 235 76
49 3.67492 240 81
50 3.68381 245 85
51 3.69434 250 86
52 3.70722 256 82
53 4.26061 260 83
54 4.43923 265 82
55 4.6763 270 82
56 4.68691 275 82
57 4.70819 281 78
58 4.72484 285 75
59 4.74041 290 75
60 4.75188 295 77
61 4.76447 300 77
62 4.77769 306 82
63 5.38463 310 85
64 5.54393 315 86
65 5.77004 320 85
66 5.78093 325 83
67 5.79969 331 86
68 5.81441 335 89
69 5.82932 340 92
70 5.83893 345 91
71 5.8494 350 96
72 5.86209 356 92
73 6.43969 360 90
74 6.6196 365 90
75 6.83769 370 88
76 6.85028 375 90
77 6.87274 381 93
78 6.88948 385 92
79 6.90431 390 95
80 6.91388 395 93
81 6.92472 400 90
82 6.93655 406 94
83 7.47099 410 93
84 7.61506 415 91
85 7.77196 420 89
86 7.78394 425 89
87 7.80277 431 86
88 7.8171 435 85
89 7.83259 440 79
90 7.84261 445 83
91 7.85278 450 83
92 7.86475 456 86
93 8.68447 460 85
94 8.86165 465 84
95 9.06737 470 84
96 9.08032 475 83
97 9.10267 481 77
98 9.12026 485 68
99 9.13547 490 71
100 9.14748 495 72
101 9.15994 500 70
102 9.17345 506 74
103 9.77695 510 68
104 9.90601 515 71
105 10.145 520 71
106 10.1551 525 73
107 10.1753 531 77
108 10.1917 535 80
109 10.2069 540 81
110 10.216 545 81
111 10.2269 550 82
112 10.2394 556 87
113 11.1392 560 89
114 11.3169 565 93
115 11.5834 570 94
116 11.5959 575 86
117 11.6166 581 91
118 11.6324 585 93
119 11.649 590 88
120 11.6588 595 90
121 11.673 600 80
122 11.6859 606 79
123 12.3418 610 82
124 12.5191 615 83
125 12.7296 620 87
126 12.742 625 84
127 12.7634 631 86
128 12.7793 635 86
129 12.7942 640 89
130 12.8041 645 91
131 12.8151 650 90
132 12.828 656 88
133 13.3989 660 87
134 13.5352 665 88
135 13.706 670 89
136 13.7191 675 83
137 13.739 681 82
138 13.7531 685 79
139 13.768 690 77
140 13.7784 695 77
141 13.7892 700 76
142 13.8013 706 78
143 14.3711 710 79
144 14.6317 715 79
145 14.8145 720 74
146 14.8245 725 77
147 14.8456 731 72
148 14.8657 735 70
149 14.8811 740 69
150 14.8907 745 70
151 14.9018 750 70
152 14.9158 756 65
153 15.4284 760 63
154 15.6553 765 63
155 15.8215 770 65
156 15.8337 775 64
157 15.8537 781 66
158 15.8701 785 67
159 15.8854 790 68
160 15.8957 795 68
