simulation-time real-time total unconfirmed
204 1014.13 1999 108
205 1019.16 2010 109
206 1021.94 2019 103
207 1025.98 2029 101
208 1030.83 2040 99
209 1036.42 2050 98
210 1042.75 2060 98
211 1045.86 2069 101
212 1049.52 2079 109
213 1054.49 2090 102
214 1058.32 2100 95
215 1062.09 2110 98
216 1064.74 2120 104
217 1068.51 2128 98
218 1072.87 2140 100
219 1077.29 2147 100
220 1083.86 2158 99
221 1089.51 2167 106
222 1095.53 2178 103
223 1100.25 2190 111
224 1105.95 2199 111
225 1112.15 2207 101
226 1117.34 2216 100
227 1123.03 2227 103
228 1129.05 2240 110
229 1134.9 2250 100
230 1140.2 2259 101
231 1143.31 2270 95
232 1146.19 2281 102
233 1149.09 2290 108
234 1152.57 2300 107
235 1157.27 2309 101
236 1160.14 2320 103
237 1162.62 2330 108
238 1168.92 2340 101
239 1176.96 2350 100
240 1182.44 2359 103
241 1185.92 2370 110
242 1188.02 2381 112
243 1190.79 2390 110
244 1193.03 2400 104
245 1195.47 2410 113
246 1197.89 2420 106
247 1200.31 2431 100
248 1203.28 2440 108
249 1205.69 2450 116
250 1208.5 2460 119
251 1210.33 2470 100
252 1212.61 2481 89
253 1215.54 2490 88
254 1219.15 2500 87
255 1223.63 2510 87
256 1227 2520 92
257 1229.36 2531 98
258 1233.47 2540 97
259 1236.93 2550 100
260 1242.15 2558 101
261 1247.46 2568 102
262 1252.72 2578 105
263 1258.37 2590 107
264 1262.97 2600 115
265 1268.29 2607 110
266 1274.02 2617 110
267 1280.11 2627 110
268 1286.26 2640 113
269 1291.54 2648 106
270 1297.31 2657 103
271 1303.1 2667 111
272 1309.21 2677 118
273 1315.52 2690 122
274 1320.74 2699 121
275 1326.63 2708 112
276 1331.77 2718 107
277 1335.99 2730 108
278 1340.06 2740 102
279 1343.48 2750 109
280 1347.7 2760 109
281 1351.47 2770 115
282 1354.08 2781 111
283 1356.7 2790 109
284 1359.69 2800 101
285 1362.71 2810 94
286 1365.24 2820 93
287 1368.51 2830 95
288 1373.7 2840 99
289 1376.51 2850 100
290 1380.91 2860 105
291 1384.02 2870 100
292 1386.78 2881 100
293 1389.45 2890 98
294 1393.18 2900 95
295 1398.62 2907 91
296 1403.91 2919 97
297 1407.97 2927 101
298 1413.44 2940 106
299 1418.95 2949 107
300 1425.23 2958 108
301 1432.24 2970 107
302 1436.72 2981 110
303 1440.75 2990 105
304 1444.59 3000 107
305 1449.71 3009 111
306 1454.03 3019 103
307 1457.89 3029 103
308 1462.33 3040 98
309 1466.68 3048 101
310 1472.9 3059 105
311 1476.92 3068 104
312 1481.94 3077 109
313 1487.51 3090 104
314 1492.04 3100 105
315 1497.1 3108 107
316 1501.46 3118 105
317 1506.92 3127 112
318 1513.35 3140 116
319 1520.37 3149 118
320 1526.63 3160 112
321 1531.77 3170 102
322 1536.48 3180 109
323 1542.19 3190 112
324 1546.56 3200 117
325 1553.19 3207 116
326 1559.15 3216 113
327 1565.73 3227 121
328 1571.41 3240 121
329 1577.28 3248 114
330 1583.99 3257 113
331 1589.6 3268 114
332 1594.93 3278 112
333 1600.16 3290 110
334 1604.82 3300 107
335 1608.46 3310 103
336 1611.12 3320 101
337 1614.08 3331 103
338 1617.08 3340 110
339 1620.85 3350 100
340 1625.2 3359 101
341 1628.75 3370 106
342 1631.6 3381 99
343 1635.04 3390 99
344 1637.86 3399 97
345 1642.6 3409 94
346 1645.81 3419 92
347 1648.62 3431 95
348 1651.7 3440 103
349 1654.78 3450 97
350 1658.34 3460 98
351 1660.8 3470 101
352 1663.28 3480 102
353 1667.28 3490 105
354 1670.31 3500 103
355 1674.02 3510 94
356 1676.59 3520 88
357 1679.03 3531 79
358 1681.72 3540 79
359 1684.99 3550 80
360 1687.65 3560 77
361 1689.64 3570 83
362 1692.02 3581 84
363 1694.7 3590 89
364 1698.38 3600 86
365 1700.96 3610 78
366 1703.15 3620 84
367 1705.52 3631 88
368 1707.98 3640 87
369 1710.56 3650 88
370 1713.79 3660 83
371 1716.38 3670 88
372 1719.11 3681 95
373 1722.63 3690 97
374 1725.87 3700 98
375 1729.06 3710 97
376 1731.63 3720 96
377 1733.38 3731 90
378 1735.73 3740 96
379 1739.31 3750 103
380 1742.7 3760 106
381 1744.95 3770 107
382 1747.62 3780 109
383 1752.01 3790 111
384 1754.85 3800 114
385 1757.28 3810 94
386 1759.42 3820 88
387 1761.62 3831 93
388 1763.43 3840 95
389 1765.81 3850 91
390 1767.75 3860 91
391 1770.21 3870 95
392 1772.04 3881 91
393 1775.18 3890 90
394 1778.71 3900 99
395 1782.05 3910 101
396 1784.86 3920 96
397 1787.77 3931 85
398 1790.12 3940 90
399 1793.21 3950 96
400 1796.82 3960 101
401 1799.36 3970 103
402 1801.43 3981 95
403 1803.37 3990 95
404 1806.07 4000 93
405 1808.65 4010 87
406 1810.4 4020 78
407 1812.55 4031 83
408 1815.14 4040 85
409 1818.03 4050 90
410 1820.76 4060 91
411 1822.44 4070 87
412 1823.28 4081 88
413 1824.66 4090 91
414 1827.08 4100 90
415 1829.91 4110 91
416 1831.82 4120 85
417 1833.35 4131 84
418 1834.58 4140 79
419 1836.69 4150 78
420 1838.19 4160 80
421 1838.31 4170 79
422 1838.41 4181 78
423 1839.68 4190 76
424 1841.57 4200 75
425 1843.73 4210 73
426 1845.77 4220 76
427 1848.2 4231 80
428 1850.06 4240 84
429 1852.23 4250 72
430 1854.59 4260 74
431 1856.62 4270 79
432 1857.77 4281 78
433 1858.93 4290 78
434 1861.21 4300 80
435 1863.3 4310 83
436 1865 4320 85
437 1866.3 4331 81
438 1867.73 4340 80
439 1870.9 4350 78
440 1873.88 4360 84
441 1875.66 4370 81
442 1878.2 4381 72
443 1880.75 4390 81
444 1883.56 4400 84
445 1887.03 4410 87
446 1890.19 4420 84
447 1892.31 4431 77
448 1893.69 4440 84
449 1895.95 4450 87
450 1898.81 4460 94
451 1901.12 4470 86
452 1903.27 4481 81
453 1905.83 4490 80
454 1908.67 4500 83
455 1911.09 4510 87
456 1913.33 4520 80
457 1915.65 4531 80
458 1917.83 4540 83
459 1920.21 4550 82
460 1922.85 4560 80
461 1925.17 4570 81
462 1926.88 4581 78
463 1928.03 4590 79
464 1929.62 4600 70
465 1931.83 4610 65
466 1933.46 4620 70
467 1935.6 4631 67
468 1937.31 4640 67
469 1939.59 4650 68
470 1941.55 4660 72
471 1942.77 4670 72
472 1943.47 4681 65
473 1944.94 4690 62
474 1946.71 4700 58
475 1948.44 4710 62
476 1950.29 4720 69
477 1951.91 4731 69
478 1952.9 4740 74
479 1954.87 4750 76
480 1957.43 4760 75
481 1959.43 4770 71
482 1961.3 4780 71
483 1965.37 4790 73
484 1968.17 4800 74
485 1971.52 4810 80
486 1973.84 4820 83
487 1976.34 4831 81
488 1979.03 4840 81
489 1982.48 4850 86
490 1986.7 4860 82
491 1988.93 4870 90
492 1992.28 4881 91
493 1995.37 4890 93
494 1998.68 4900 99
495 2002.95 4910 96
496 2006.04 4920 100
497 2009.36 4930 101
498 2013.15 4940 100
499 2016.97 4950 94

