simulation-time real-time total unconfirmed
1 0.837255 0 0
2 0.858064 5 5
3 0.927307 10 10
4 0.977169 15 15
5 1.06161 20 20
6 1.16953 25 24
7 1.30001 31 29
8 1.33839 40 34
9 1.37898 50 41
10 1.41678 60 49
11 1.46057 70 56
12 1.50184 81 63
13 3.20714 90 72
14 6.6696 98 74
15 11.5016 106 80
16 16.4656 113 85
17 23.4193 127 97
18 30.0916 135 101
19 42.6794 146 107
20 52.0403 155 110
21 61.3327 165 113
22 68.1433 176 119
23 74.1137 188 114
24 81.2647 195 119
25 89.2036 204 123
26 94.9678 214 126
27 101.809 224 126
28 108.957 236 128
29 116.587 247 127
30 124.211 257 131
31 130.445 265 134
32 136.498 279 139
33 140.673 290 141
34 143.37 300 144
35 147.746 308 140
36 151.781 317 137
37 157.185 328 118
38 162.499 340 120
39 168.228 350 106
40 174.757 360 108
41 177.76 370 110
42 181.139 381 115
43 184.529 390 110
44 187.559 400 112
45 190.697 410 111
46 193.996 420 118
47 197.689 430 121
48 201.224 440 121
49 204.138 449 118
50 208.848 459 111
51 211.941 468 103
52 215.223 479 109
53 220.04 490 113
54 222.943 500 115
55 226.59 510 116
56 229.564 520 119
57 232.662 530 114
58 235.867 540 112
59 238.634 550 102
60 242.519 560 100
61 244.888 570 97
62 247.744 581 91
63 250.72 590 96
64 254.344 600 93
65 257.881 610 101
66 260.531 620 100
67 263.62 631 103
68 266.741 640 108
69 269.46 650 116
70 274.044 659 111
71 277.13 669 106
72 280.096 681 102
73 282.771 690 105
74 285.734 700 110
75 289.576 710 106
76 292.119 720 108
77 294.644 730 113
78 298.505 740 118
79 301.597 750 116
80 306.177 759 123
81 309.923 768 109
82 314.319 779 108
83 318.605 790 110
84 322.619 799 113
85 328.052 809 114
86 331.925 817 108
87 337.075 829 104
88 341.283 840 103
89 346.05 850 105
90 352.757 858 109
91 357.151 866 112
92 362.465 877 112
93 368.6 890 110
94 374.755 899 105
95 381.961 907 109
96 388.076 915 110
97 393.986 928 115
98 399.583 940 123
99 404.25 949 129
100 410.836 957 130
101 416.2 968 133
102 420.254 978 135
103 424.733 990 137
104 429.41 998 139
105 435.393 1007 132
106 442.293 1015 131
107 461.248 1025 128
108 480.085 1040 123
109 494.505 1047 119
110 504.214 1055 111
111 510.398 1066 108
112 516.712 1077 113
113 523.683 1089 122
114 530.483 1098 123
115 537.497 1108 120
116 542.629 1119 121
117 548.434 1129 123
118 553 1140 120
119 556.052 1150 117
120 560.184 1160 116
121 562.763 1170 98
122 566.133 1181 97
123 569.651 1190 93
124 572.983 1200 94
125 576.486 1210 94
126 579.483 1217 97
127 584.127 1227 100
128 590.115 1239 105
129 595.324 1247 105
130 602.182 1255 110
131 608.21 1265 115
132 615.189 1274 121
133 622.604 1284 121
134 630.365 1295 129
135 638.508 1306 130
136 644.257 1317 131
137 649.953 1327 132
138 656.821 1338 129
139 663.525 1350 124
140 669.876 1358 123
141 674.282 1368 121
142 679.181 1379 117
143 683.809 1390 112
144 687.952 1399 111
145 693.888 1408 115
146 697.578 1417 119
147 703.214 1427 111
148 708.735 1440 113
149 713.511 1450 106
150 719.72 1457 111
151 724.687 1467 111
152 731.182 1478 116
153 737.069 1490 124
154 742.639 1499 116
155 749.161 1507 122
156 758.833 1516 125
157 766.022 1527 133
158 772.221 1539 136
159 777.045 1549 138
160 784.023 1557 136
161 788.616 1568 142
162 794.316 1578 148
163 800.177 1590 143
164 803.921 1600 136
165 807.979 1610 145
166 810.521 1620 143
167 814.21 1629 145
168 819.292 1640 143
169 824.601 1650 122
170 836.335 1658 116
171 844.35 1666 115
172 850.77 1677 112
173 857.004 1686 108
174 869.481 1697 107
175 881.951 1709 107
176 888.598 1716 110
177 893.79 1729 110
178 898.059 1740 116
179 901.998 1750 110
180 906.296 1760 101
181 908.889 1770 99
182 912.083 1780 102
183 915.59 1790 102
184 919.436 1799 105
185 924.414 1810 104
186 927.859 1817 109
187 933.674 1828 110
188 938.9 1840 113
189 943.361 1850 108
190 949.27 1857 108
191 954.235 1868 108
192 959.507 1877 114
193 965.091 1890 113
194 969.768 1900 122
195 975.174 1908 119
196 979.918 1917 122
197 984.14 1929 111
198 988.858 1940 108
199 993.777 1950 111
200 999.23 1958 108
201 1002.91 1969 101
202 1007.17 1981 106
203 1010.5 1990 110
