simulation-time real-time total unconfirmed
1 0.842399 0 0
2 0.863186 5 5
3 0.914772 10 10
4 0.97602 15 14
5 1.07822 20 17
6 1.19241 25 22
7 1.32477 31 28
8 1.36228 40 32
9 1.40036 50 39
10 1.43494 60 45
11 1.47715 70 50
12 1.5143 81 59
13 3.14978 90 68
14 6.00929 100 71
15 11.3746 107 77
16 16.1021 114 80
17 22.3748 121 86
18 28.3253 136 96
19 35.2623 146 106
20 42.8313 154 108
21 49.1485 162 109
22 56.054 174 116
23 63.5698 187 123
24 69.5367 198 129
25 76.5229 206 129
26 82.2548 215 128
27 88.712 225 129
28 94.4032 237 125
29 101.074 247 123
30 107.747 254 128
31 113.835 265 129
32 120.806 275 118
33 127.016 287 119
34 132.652 296 123
35 138.363 306 128
36 143.199 317 126
37 148.992 325 126
38 154.617 339 126
39 159.777 347 125
40 164.892 357 131
41 169.569 366 128
42 175.358 377 126
43 180.864 386 120
44 187.16 396 112
45 193.809 407 115
46 200.623 417 118
47 205.479 426 124
48 210.847 439 127
49 217.148 446 121
50 224.156 454 126
51 230.436 464 130
52 237.17 475 130
53 243.637 488 133
54 248.81 498 134
55 254.812 507 135
56 259.793 515 121
57 266.249 526 114
58 272.29 536 120
59 277.796 547 124
60 283.758 557 125
61 288.934 565 129
62 295.494 575 128
63 302.54 587 126
64 312.431 598 120
65 325.525 606 108
66 336.968 617 109
67 345.356 625 107
68 352.408 638 109
69 362.145 648 108
70 370.138 659 108
71 375.426 666 110
72 382.504 677 117
73 389.608 688 117
74 395.478 699 119
75 401.447 707 125
76 406.081 717 126
77 412.091 727 117
78 416.656 739 112
79 421.885 748 115
80 428.913 756 116
81 435.112 765 120
82 441.328 775 113
83 448.619 784 112
84 455.48 796 113
85 463.559 805 113
86 472.018 815 115
87 479.754 824 97
88 486.684 836 102
89 493.807 844 108
90 503.938 855 112
91 512.107 864 109
92 519.18 871 109
93 526.669 885 114
94 533.659 897 117
95 540.949 907 107
96 548.511 916 101
97 553.413 929 94
98 557.918 940 95
99 561.65 948 95
100 569.092 957 90
101 574.334 967 89
102 578.694 978 84
103 583.691 989 85
104 588.301 999 85
105 594.777 1007 89
106 600.152 1015 93
107 605.744 1026 90
108 612.098 1039 83
109 617.447 1050 78
110 623.488 1060 84
111 626.627 1069 91
112 630.62 1079 95
113 635.364 1090 92
114 639.492 1100 90
115 645.509 1108 93
116 649.836 1117 87
117 656.087 1127 83
118 661.903 1139 86
119 666.644 1150 87
120 671.89 1158 86
121 676.804 1164 88
122 682.621 1174 89
123 692.42 1185 83
124 704.387 1196 83
125 718.46 1207 86
126 731.203 1216 91
127 743.114 1226 100
128 752.751 1237 100
129 759.08 1249 99
130 765.911 1257 101
131 771.595 1266 100
132 777.694 1273 95
133 783.784 1286 101
134 790.008 1297 102
135 797.455 1306 98
136 803.617 1316 94
137 809.368 1327 89
138 814.035 1340 86
139 819.247 1347 85
140 826.842 1359 86
141 831.222 1368 85
142 835.242 1380 88
143 838.484 1390 86
144 842.041 1400 80
145 846.699 1410 73
146 850.522 1418 73
147 855.794 1427 78
148 861.252 1440 82
149 866.427 1450 86
150 872.759 1459 84
151 878.543 1467 86
152 885.558 1477 88
153 890.736 1490 95
154 895.213 1500 80
155 901.022 1509 80
156 904.813 1518 80
157 909.07 1526 86
158 917.421 1534 86
159 931.826 1546 94
160 940.067 1557 101
161 946.785 1565 106
162 954.796 1575 104
163 963.043 1587 110
164 970.228 1600 100
165 976.535 1608 99
166 980.311 1618 100
167 984.975 1627 104
168 990.492 1640 99
169 996.211 1649 93
170 1001.8 1660 92
171 1005.14 1669 94
172 1009.65 1678 101
173 1014.78 1690 91
174 1019.13 1700 88
175 1024 1709 83
176 1026.9 1720 87
177 1030.45 1729 90
178 1035.19 1740 89
179 1038.53 1750 82
180 1043.21 1759 81
181 1047.62 1768 84
182 1053.94 1777 84
183 1059.81 1789 93
184 1066.25 1800 98
185 1075.51 1808 103
186 1081.79 1816 106
187 1085.99 1826 106
188 1091.81 1837 99
189 1098.16 1847 95
190 1106.1 1857 96
191 1111.04 1866 89
192 1117.96 1876 83
193 1126.69 1887 88
194 1133.82 1899 94
195 1141.02 1909 92
196 1146.84 1916 98
197 1151.31 1928 98
198 1155.77 1940 99
199 1158.89 1950 79
200 1162.83 1959 82
201 1166.44 1968 80
202 1171.22 1977 80
203 1177.45 1989 79
204 1183.04 1998 79
205 1189.56 2008 82
206 1193.88 2017 84
207 1199.49 2026 86
208 1206.26 2039 91
209 1212.3 2049 98
210 1218.84 2058 100
211 1223.64 2067 101
212 1229.28 2077 101
213 1235.43 2087 103
214 1241.45 2097 99
215 1248.98 2107 101
216 1254.73 2116 102
217 1260.93 2124 99
218 1268.55 2136 101
219 1276.95 2147 97
220 1284.19 2157 94
221 1289.27 2167 102
222 1294.78 2177 97
223 1300.25 2190 98
224 1304.42 2200 99
225 1311.15 2208 101
226 1316.43 2217 92
227 1321.3 2227 94
228 1327.24 2240 95
229 1333.59 2248 92
230 1341.45 2258 89
231 1346.71 2268 90
232 1351.43 2278 90
233 1356.95 2290 95
234 1361.75 2300 99
235 1368.78 2308 95
236 1377.42 2315 89
237 1386.06 2326 94
238 1392.38 2336 96
239 1399.17 2346 100
240 1406.93 2353 96
241 1414.04 2365 100
242 1420.45 2374 107
243 1428.02 2387 111
244 1435.15 2395 114
