simulation-time real-time total unconfirmed
245 1442.81 2405 117
246 1449.48 2414 121
247 1456.58 2424 117
248 1463.68 2434 119
249 1470.95 2445 116
250 1478.54 2455 118
251 1485.71 2463 123
252 1492.68 2474 121
253 1499.9 2484 121
254 1507.92 2495 125
255 1516.31 2505 124
256 1522.86 2515 114
257 1529.37 2525 114
258 1536.41 2538 112
259 1543.05 2548 108
260 1550.63 2555 107
261 1557.26 2567 106
262 1562.2 2577 100
263 1567.63 2589 105
264 1572.74 2598 98
265 1578.78 2606 95
266 1584.56 2614 91
267 1590.91 2621 93
268 1598.79 2631 92
269 1606.4 2646 95
270 1616.5 2654 98
271 1624.13 2664 94
272 1631.99 2675 99
273 1639.92 2686 106
274 1647.79 2696 109
275 1654.88 2707 104
276 1659.93 2716 107
277 1666.33 2725 108
278 1673.39 2739 109
279 1681.27 2749 112
280 1688.96 2757 113
281 1694.6 2766 111
282 1702.44 2776 108
283 1710.98 2789 103
284 1716.52 2798 101
285 1723.97 2804 100
286 1731 2813 100
287 1738.42 2827 106
288 1744.55 2839 100
289 1751.14 2846 106
290 1758.67 2855 105
291 1766.12 2863 101
292 1774.09 2873 106
293 1781.58 2888 104
294 1788.24 2897 106
295 1796.44 2906 95
296 1804.23 2913 96
297 1811.83 2926 93
298 1818.63 2937 94
299 1832.32 2946 98
300 1844.18 2957 99
301 1850.52 2967 95
302 1856.1 2975 97
303 1861.52 2987 100
304 1866.63 2997 97
305 1872.24 3008 99
306 1877.43 3015 100
307 1884.35 3025 103
308 1890.41 3037 106
309 1898.73 3049 109
310 1906.99 3056 112
311 1915.7 3064 117
312 1925.12 3076 117
313 1931.9 3089 117
314 1937.95 3099 115
315 1944.85 3108 115
316 1950.34 3115 121
317 1956.29 3123 121
318 1966.84 3137 113
319 1978.89 3147 110
320 1986.51 3158 116
321 1992.35 3166 118
322 1998.83 3175 114
323 2005.15 3190 118
324 2011.24 3198 120
325 2018.82 3206 120
326 2025.35 3215 121
327 2033.07 3224 123
328 2044.6 3238 126
329 2053.05 3247 118
330 2060.1 3258 117
331 2065.33 3266 109
332 2073.08 3274 107
333 2087.79 3290 114
334 2102.65 3299 111
335 2110.46 3310 106
336 2114.74 3320 109
337 2118.41 3331 95
338 2121.18 3340 94
339 2124.42 3350 81
340 2127.8 3360 76
341 2131.12 3370 83
342 2134.29 3381 82
343 2136.95 3390 83
344 2141.5 3400 78
345 2146.19 3410 80
346 2149.79 3420 80
347 2153.1 3430 82
348 2156.82 3440 77
349 2160.62 3450 79
350 2163.95 3460 79
351 2166.56 3470 75
352 2169.54 3481 77
353 2172.91 3490 73
354 2177.39 3500 75
355 2182.33 3509 76
356 2186.43 3520 70
357 2190.44 3529 75
358 2194.76 3540 73
359 2199.62 3550 73
360 2205.47 3559 72
361 2209.8 3568 78
362 2214.26 3579 79
363 2219.47 3590 85
364 2224.63 3600 77
365 2227.6 3610 78
366 2230.44 3620 77
367 2234.11 3631 73
368 2237.94 3640 78
369 2241.32 3650 77
370 2244.78 3660 79
371 2247.37 3670 77
372 2250.28 3681 76
373 2253.54 3690 75
374 2257.49 3700 76
375 2260.94 3710 77
376 2263.48 3719 80
377 2266.17 3731 76
378 2268.72 3740 79
379 2272.24 3750 77
380 2276.04 3760 75
381 2279.12 3769 77
382 2282.68 3780 78
383 2286.45 3790 80
384 2290.21 3800 65
385 2293.4 3810 70
386 2296.31 3820 72
387 2298.84 3831 72
388 2301.13 3840 79
389 2304.26 3850 83
390 2307.39 3860 81
391 2310.12 3870 79
392 2313.28 3881 77
393 2315.93 3890 73
394 2319.31 3900 73
395 2321.94 3910 71
396 2324 3920 74
397 2326.85 3931 67
398 2328.77 3940 70
399 2331.35 3950 70
400 2333.89 3960 69
401 2336.38 3970 73
402 2338.51 3981 74
403 2340.26 3990 75
404 2343.32 4000 78
405 2346.04 4010 79
406 2348.49 4020 76
407 2350.95 4031 76
408 2352.98 4040 74
409 2355.77 4050 80
410 2360.24 4058 77
411 2364.5 4068 79
412 2369.65 4078 84
413 2374.64 4089 84
414 2379.74 4098 89
415 2389.24 4106 90
416 2399.96 4115 97
417 2405.67 4127 98
418 2410.53 4140 100
419 2416.37 4147 89
420 2432 4155 94
421 2445.32 4165 99
422 2456.42 4174 97
423 2475.88 4189 94
424 2488.2 4198 91
425 2496.7 4207 90
426 2503.76 4217 90
427 2509.32 4229 95
428 2513.27 4240 95
429 2517.94 4250 90
430 2522.78 4259 90
431 2527.57 4268 92
432 2531.89 4279 93
433 2536.65 4290 93
434 2542.23 4300 90
435 2548.14 4309 85
436 2551.97 4320 86
437 2555.19 4330 83
438 2559.13 4340 84
439 2562.9 4350 84
440 2565.93 4360 81
441 2569.63 4369 81
442 2574.22 4380 84
443 2577.94 4390 84
444 2581.83 4400 74
445 2585.52 4409 74
446 2588.77 4420 77
447 2592.36 4430 80
448 2596.24 4440 79
449 2599.89 4450 84
450 2604.2 4459 89
451 2607.47 4470 77
452 2610.22 4481 78
453 2612.74 4490 79
454 2616.22 4500 73
455 2619.74 4510 74
456 2622.32 4520 78
457 2624.69 4531 76
458 2626.81 4540 70
459 2629.94 4550 67
460 2634.12 4560 69
461 2637.35 4568 68
462 2641.42 4580 65
463 2645.81 4590 71
464 2651.02 4600 74
465 2655.59 4610 76
466 2658.8 4620 77
467 2662.15 4631 78
468 2665.42 4640 79
469 2669.24 4650 77
470 2672.88 4660 73
471 2675.95 4670 67
472 2679.26 4680 66
473 2683.29 4690 71
474 2687.21 4700 72
475 2690.99 4710 68
476 2694.17 4720 72
477 2696.81 4731 69
478 2699.71 4740 68
479 2702.5 4750 69
480 2705.89 4760 72
481 2708.55 4770 73
482 2711.29 4781 77
483 2715.02 4790 77
484 2719.08 4800 74
485 2723.17 4809 70
486 2726.52 4820 69
487 2730.61 4829 71
488 2735.33 4839 72
489 2739.2 4850 80
490 2743.12 4860 88
491 2747.09 4868 85
492 2751.48 4878 89
493 2756.55 4890 96
494 2761.92 4899 94
495 2767.3 4908 91
496 2773.15 4918 93
497 2779.15 4929 86
498 2783.86 4940 87
499 2789.19 4950 79

