simulation-time real-time total unconfirmed
1 0.828777 0 0
2 0.849531 5 5
3 0.887833 10 9
4 0.950298 15 12
5 1.05041 20 17
6 1.16828 25 20
7 1.30104 31 24
8 1.33877 40 27
9 1.37531 50 33
10 1.40913 60 41
11 1.44984 70 48
12 1.48638 81 59
13 3.70546 90 65
14 6.59289 97 68
15 12.122 105 72
16 17.4144 114 72
17 23.7201 125 80
18 32.156 134 85
19 39.9703 144 93
20 49.7506 155 99
21 57.6946 165 100
22 64.3103 175 105
23 71.754 186 109
24 78.4826 195 109
25 86.4505 203 112
26 92.9209 215 110
27 98.9099 222 109
28 106.845 236 103
29 113.061 246 104
30 126.56 255 106
31 139.103 265 111
32 147.279 275 109
33 154.311 285 112
34 161.452 294 112
35 172.683 305 116
36 181.685 316 112
37 189.246 324 116
38 197.817 338 110
39 203.084 347 106
40 210.453 356 105
41 215.889 366 106
42 221.263 377 108
43 227.062 387 109
44 232.296 398 105
45 238.851 407 104
46 245.648 415 105
47 252.557 423 99
48 259.893 435 101
49 266.554 447 103
50 273.898 454 102
51 281.026 465 96
52 287.431 472 88
53 293.854 486 72
54 300.316 495 68
55 307.584 505 72
56 315.825 513 77
57 321.242 525 78
58 327.516 537 82
59 333.138 548 84
60 339.304 557 84
61 345.244 562 85
62 352.029 574 76
63 359.191 584 73
64 367.534 595 71
65 375.66 605 74
66 383.506 614 71
67 395.529 623 69
68 404.772 634 76
69 414.852 645 71
70 424.781 655 74
71 433.582 665 82
72 440.435 675 83
73 449.628 686 80
74 461.658 696 88
75 469.637 706 80
76 480.283 712 81
77 489.866 722 85
78 501.092 736 87
79 510.941 745 90
80 518.717 755 89
81 525.922 764 89
82 533.192 774 93
83 540.139 785 94
84 548.196 795 95
85 556.603 805 87
86 563.846 814 83
87 572.04 825 73
88 579.062 838 73
89 585.245 847 75
90 593.144 855 71
91 600.352 866 71
92 623.804 876 74
93 632.033 887 70
94 638.22 898 77
95 646.481 906 72
96 657.148 915 73
97 665.084 928 71
98 669.464 940 71
99 673.422 950 66
100 678.898 957 64
101 683.776 967 66
102 689.363 978 64
103 695.937 989 64
104 702.222 998 61
105 708.953 1008 59
106 713.999 1017 61
107 719.028 1028 61
108 724.329 1040 65
109 728.463 1049 64
110 734.851 1057 60
111 739.797 1067 61
112 744.786 1075 63
113 751.666 1084 66
114 806.797 1095 67
115 839.226 1105 71
116 874.368 1115 73
117 913.205 1124 78
118 927.467 1138 82
119 934.369 1147 86
120 941.393 1156 89
121 947.798 1165 87
122 953.217 1175 92
123 959.276 1189 96
124 965.823 1196 94
125 974.2 1204 91
126 980.872 1215 86
127 987.207 1225 86
128 997.84 1237 76
129 1011.28 1247 78
130 1020.2 1255 77
131 1030.86 1265 80
132 1040.14 1276 82
133 1048.35 1290 73
134 1053.96 1297 73
135 1063.02 1306 75
136 1071.19 1314 70
137 1078.55 1325 68
138 1084.67 1338 70
139 1091.2 1348 71
140 1098.43 1357 69
141 1103.11 1369 73
142 1107.81 1380 65
143 1111.24 1390 63
144 1115.07 1400 57
145 1118.96 1410 56
146 1121.41 1420 57
147 1123.62 1431 53
148 1126.36 1440 57
149 1129 1450 51
150 1131.84 1460 51
151 1134.06 1470 53
152 1136.17 1481 53
153 1137.75 1490 54
154 1140.08 1500 49
155 1141.93 1510 51
156 1143.55 1520 44
157 1146.24 1531 44
158 1148.05 1540 35
159 1149.85 1550 41
160 1152.52 1560 45
161 1155.09 1570 49
162 1158.1 1581 51
163 1160.79 1590 48
164 1163.68 1600 48
165 1166.77 1610 48
166 1169.5 1620 51
167 1171.57 1631 54
168 1173.68 1640 56
169 1175.99 1650 55
170 1177.93 1660 52
171 1179.43 1670 46
172 1180.72 1681 46
173 1182.64 1690 45
174 1185.05 1700 47
175 1187.55 1710 48
176 1189.98 1720 48
177 1192.76 1731 51
178 1194.86 1740 54
179 1197.57 1750 57
180 1201.22 1760 59
181 1203.85 1770 61
182 1206.59 1781 56
183 1209.1 1790 52
184 1211.76 1800 51
185 1214.67 1810 53
186 1216.61 1820 54
187 1219.32 1831 55
188 1221.37 1840 58
189 1223.64 1850 50
190 1225.45 1860 40
191 1226.98 1870 40
192 1228.97 1881 42
193 1231.07 1890 45
194 1234.03 1900 45
195 1236.45 1910 45
196 1237.88 1920 45
197 1239.15 1931 41
198 1240.18 1940 39
199 1241.96 1950 36
200 1243.08 1960 33
201 1243.17 1970 30
202 1243.26 1981 30
203 1244.37 1990 33
204 1245.93 2000 31
205 1247.25 2010 38
206 1248.65 2020 38
207 1250.43 2031 38
208 1252.61 2040 40
209 1254.58 2050 42
210 1256.57 2060 44
211 1258.53 2070 44
212 1261.49 2081 44
213 1263.85 2090 43
214 1266.26 2100 50
215 1268.74 2110 52
216 1270.68 2120 49
217 1272.6 2131 49
218 1274.45 2140 50
219 1276.87 2150 46
220 1279.03 2160 42
221 1280.82 2170 43
222 1282.55 2181 43
223 1285.03 2190 48
224 1287.48 2200 48
225 1290.72 2210 51
226 1293.46 2219 54
227 1297.21 2229 52
228 1302.77 2240 54
229 1306.16 2250 51
230 1309.08 2260 52
231 1311.58 2270 53
232 1314.31 2281 54
233 1316.98 2290 57
234 1319.6 2300 59
235 1321.85 2310 51
236 1323.7 2320 51
237 1326.01 2331 50
238 1328.2 2340 49
239 1330.65 2350 48
240 1333.23 2360 49
241 1335.29 2370 49
242 1336.72 2381 51
243 1338.13 2390 53
244 1340.36 2400 46
245 1343.26 2410 45
246 1345.09 2420 43
247 1346.9 2431 41
248 1348.2 2440 42
249 1350.58 2450 42
250 1353.26 2460 46
251 1355.25 2470 51
252 1357.87 2481 46
253 1361.07 2490 45
254 1364.09 2500 46
255 1367.55 2510 49
256 1370.68 2520 51
257 1373.75 2531 57
258 1376.73 2540 60
259 1378.69 2550 54
260 1380.4 2560 46
261 1382.57 2570 46
262 1384.02 2581 41
263 1385.67 2590 42
264 1388.44 2600 41
265 1391.14 2610 43
266 1393.56 2620 50
267 1395.39 2631 49
268 1396.8 2640 48
269 1398.63 2650 45
270 1400.07 2660 44
271 1400.15 2670 41
272 1400.24 2681 39
273 1401.44 2690 38
274 1403.02 2700 36
275 1404.44 2710 35
276 1405.82 2720 35
277 1406.99 2731 38
278 1408.18 2740 38
279 1410.22 2750 39
280 1412.69 2760 40
281 1415.22 2770 46
282 1416.5 2781 46
283 1418.75 2790 51
284 1421.1 2800 51
285 1423.82 2810 50
286 1425.74 2820 44
287 1427.99 2831 49
288 1431.27 2840 53
289 1434.64 2850 55
290 1437.78 2860 51
291 1439.79 2870 50
292 1439.89 2881 49
293 1441.41 2890 44
294 1443.24 2900 40
295 1444.95 2910 40
296 1446.44 2920 43
297 1447.72 2931 44
298 1448.61 2940 34
299 1450.09 2950 31
300 1451.12 2960 34
301 1451.23 2970 37
302 1451.31 2981 35
