simulation-time real-time total unconfirmed
1 0.0829564 0 0
2 0.115865 5 5
3 0.3669 13 9
4 0.367008 13 9
5 0.367078 13 9
6 0.367307 13 9
7 0.382587 14 10
8 0.430279 21 13
9 0.430371 21 13
10 0.430438 21 13
11 0.430608 21 13
12 0.442853 22 14
13 1.2485 29 14
14 1.24863 29 14
15 1.2487 29 14
16 1.24931 29 14
17 1.28057 30 14
18 1.329 37 16
19 1.32905 37 16
20 1.32912 37 16
21 1.32935 37 16
22 1.34159 38 16
23 2.12954 45 14
24 2.12973 45 14
25 2.12975 45 14
26 2.13035 45 14
27 2.16603 46 14
28 2.21555 53 13
29 2.21564 53 13
30 2.21576 53 13
31 2.21588 53 13
32 2.22786 54 13
33 3.00738 61 14
34 3.01044 61 14
35 3.01056 61 14
36 3.01143 61 14
37 3.0471 62 13
38 3.09572 69 14
39 3.09582 69 14
40 3.09589 69 14
41 3.09619 69 14
42 3.10774 70 12
43 3.77752 77 12
44 3.77765 77 12
45 3.77773 77 12
46 3.77835 77 12
47 3.80621 78 13
48 3.85443 84 14
49 3.85447 84 14
50 3.85454 84 14
51 3.85471 84 14
52 3.86607 85 13
53 4.59323 93 14
54 4.5934 93 14
55 4.59343 93 14
56 4.5941 93 14
57 4.62695 94 15
58 4.67736 101 17
59 4.67748 101 17
60 4.67761 101 17
61 4.67775 101 17
62 4.6908 102 17
63 5.54849 109 16
64 5.5486 109 16
65 5.54868 109 16
66 5.5494 109 16
67 5.59025 110 15
68 5.63999 117 15
69 5.6401 117 15
70 5.64017 117 15
71 5.64036 117 15
72 5.65263 118 16
73 6.48849 125 17
74 6.48863 125 17
75 6.48871 125 17
76 6.48937 125 17
77 6.52253 126 16
78 6.57177 133 16
79 6.57183 133 16
80 6.57189 133 16
81 6.57206 133 16
82 6.58427 134 16
83 7.28272 141 15
84 7.2829 141 15
85 7.28293 141 15
86 7.28353 141 15
87 7.31297 142 15
88 7.36286 149 15
89 7.36297 149 15
90 7.36309 149 15
91 7.36322 149 15
92 7.37533 150 14
93 8.16165 157 13
94 8.16177 157 13
95 8.16184 157 13
96 8.16268 157 13
97 8.19879 158 13
98 8.24773 165 15
99 8.24783 165 15
100 8.24791 165 15
101 8.2481 165 15
102 8.26123 166 16
103 9.09415 173 15
104 9.09429 173 15
105 9.09437 173 15
106 9.09502 173 15
107 9.13228 174 15
108 9.18211 181 14
109 9.18217 181 14
110 9.18224 181 14
111 9.18242 181 14
112 9.19488 182 14
113 10.0471 189 15
114 10.0473 189 15
115 10.0473 189 15
116 10.0479 189 15
117 10.082 190 16
118 10.1333 197 15
119 10.1334 197 15
120 10.1335 197 15
121 10.1337 197 15
122 10.1461 198 16
123 10.8333 205 16
124 10.8334 205 16
125 10.8335 205 16
126 10.8342 205 16
127 10.8655 206 15
128 10.9164 213 17
129 10.9166 213 17
130 10.9167 213 17
131 10.917 213 17
132 10.9304 214 15
133 11.8017 221 15
134 11.8018 221 15
135 11.8019 221 15
136 11.8026 221 15
137 11.8379 222 15
138 11.8875 229 13
139 11.8875 229 13
140 11.8876 229 13
141 11.8878 229 13
142 11.9 230 12
143 12.6964 237 16
144 12.6966 237 16
145 12.6966 237 16
146 12.6973 237 16
147 12.7353 238 15
148 12.7857 245 12
149 12.7858 245 12
150 12.786 245 12
151 12.7861 245 12
152 12.7975 246 12
153 13.5168 253 13
154 13.517 253 13
155 13.517 253 13
156 13.5178 253 13
157 13.5484 254 14
158 13.5987 261 14
159 13.5988 261 14
160 13.5989 261 14
161 13.5991 261 14
162 13.6106 262 15
163 14.2567 269 14
164 14.2568 269 14
165 14.2569 269 14
166 14.2576 269 14
167 14.2869 270 15
168 14.3364 277 15
169 14.3365 277 15
170 14.3366 277 15
171 14.3368 277 15
172 14.349 278 14
173 15.0887 285 16
174 15.0889 285 16
175 15.0889 285 16
176 15.0896 285 16
