simulation-time real-time total unconfirmed
1 0.121585 0 0
2 0.156427 5 5
3 0.684092 15 13
4 0.684217 15 13
5 0.684299 15 13
6 0.684575 15 13
7 0.713359 16 13
8 0.791835 25 21
9 0.791946 25 21
10 0.792022 25 21
11 0.792258 25 21
12 0.809489 26 22
13 2.67585 35 28
14 2.676 35 28
15 2.67608 35 28
16 2.6769 35 28
17 2.74952 36 28
18 2.8335 45 31
19 2.83356 45 31
20 2.83363 45 31
21 2.83388 45 31
22 2.85201 46 32
23 4.58956 55 32
24 4.58975 55 32
25 4.58978 55 32
26 4.59051 55 32
27 4.65513 56 32
28 4.74318 65 36
29 4.74331 65 36
30 4.74347 65 36
31 4.74365 65 36
32 4.76168 66 36
33 6.51196 75 36
34 6.51209 75 36
35 6.51218 75 36
36 6.51313 75 36
37 6.5831 76 33
38 6.67473 85 34
39 6.67485 85 34
40 6.67493 85 34
41 6.67521 85 34
42 6.69364 86 32
43 8.13799 95 25
44 8.13814 95 25
45 8.13822 95 25
46 8.139 95 25
47 8.19597 96 26
48 8.28734 105 31
49 8.28741 105 31
50 8.28749 105 31
51 8.28773 105 31
52 8.30525 106 32
53 10.2243 115 31
54 10.2246 115 31
55 10.2246 115 31
56 10.2254 115 31
57 10.2927 116 32
58 10.3827 125 33
59 10.3828 125 33
60 10.383 125 33
61 10.3832 125 33
62 10.401 126 34
63 12.0855 135 29
64 12.0856 135 29
65 12.0857 135 29
66 12.0867 135 29
67 12.1597 136 29
68 12.2541 145 30
69 12.2543 145 30
70 12.2544 145 30
71 12.2546 145 30
72 12.273 146 29
73 14.0375 155 29
74 14.0377 155 29
75 14.0377 155 29
76 14.0386 155 29
77 14.108 156 30
78 14.195 165 31
79 14.1951 165 31
80 14.1952 165 31
81 14.1954 165 31
82 14.2133 166 31
83 15.8678 175 34
84 15.868 175 34
85 15.868 175 34
86 15.8688 175 34
87 15.9323 176 34
88 16.0223 185 32
89 16.0224 185 32
90 16.0226 185 32
91 16.0228 185 32
92 16.0399 186 32
93 17.5211 195 35
94 17.5212 195 35
95 17.5213 195 35
96 17.5224 195 35
97 17.5889 196 35
98 17.6785 205 35
