time real-time total unconfirmed
294 225.157 1775 182
295 225.255 1775 182
296 225.259 1775 182
297 225.44 1776 183
298 225.553 1805 177
299 225.642 1805 177
300 225.647 1805 177
301 225.74 1805 177
302 225.746 1806 178
303 231.958 1829 182
304 233.334 1835 184
305 233.469 1835 184
306 233.472 1835 184
307 233.608 1836 184
308 233.68 1865 187
309 233.755 1865 187
310 233.758 1865 187
311 233.829 1865 187
312 233.835 1866 188
313 239.81 1891 186
314 240.844 1895 185
315 240.957 1895 185
316 240.96 1895 185
317 241.096 1896 186
318 241.166 1925 181
319 241.243 1925 181
320 241.245 1925 181
321 241.338 1925 181
322 241.345 1926 182
323 246.947 1951 183
324 248.656 1955 183
325 248.769 1955 183
326 248.772 1955 183
327 248.971 1956 183
328 249.064 1985 173
329 249.135 1985 173
330 249.138 1985 173
331 249.212 1985 173
332 249.218 1986 174
333 254.836 2012 174
334 256.189 2015 175
335 256.259 2015 175
336 256.262 2015 175
337 256.372 2016 175
338 256.449 2045 184
339 256.52 2045 184
340 256.523 2045 184
341 256.595 2045 184
342 256.602 2046 185
343 262.138 2073 173
344 263.324 2075 174
345 263.453 2075 174
346 263.456 2075 174
347 263.581 2076 174
348 263.657 2105 176
349 263.729 2105 176
350 263.732 2105 176
351 263.803 2105 176
352 263.808 2106 174
353 268.736 2133 176
354 269.652 2135 178
355 269.728 2135 178
356 269.731 2135 178
357 269.85 2136 176
358 269.921 2165 177
359 270.003 2165 177
360 270.008 2165 177
361 270.091 2165 177
362 270.098 2166 178
363 276.569 2191 182
364 278.005 2195 182
365 278.081 2195 182
366 278.084 2195 182
367 278.202 2196 182
368 278.277 2225 179
369 278.408 2225 179
370 278.411 2225 179
371 278.486 2225 179
372 278.492 2226 180
373 285.091 2252 183
374 286.809 2255 184
375 286.882 2255 184
376 286.885 2255 184
377 286.998 2256 184
378 287.073 2285 193
379 287.166 2285 193
380 287.169 2285 193
381 287.248 2285 193
382 287.254 2286 192
383 293.4 2312 186
384 295.592 2315 187
385 295.675 2315 187
386 295.678 2315 187
387 295.791 2316 187
388 295.869 2345 183
389 295.946 2345 183
390 295.949 2345 183
391 296.026 2345 183
392 296.032 2346 179
393 301.579 2375 183
394 302.519 2375 183
395 302.637 2375 183
396 302.64 2375 183
397 302.762 2376 181
398 302.831 2405 179
399 302.908 2405 179
400 302.911 2405 179
401 302.994 2405 179
402 303 2406 179
403 309.11 2434 196
404 310.289 2435 197
405 310.425 2435 197
406 310.428 2435 197
407 310.624 2436 197
408 310.737 2465 187
409 310.822 2465 187
410 310.825 2465 187
411 310.901 2465 187
412 310.907 2466 188
413 316.458 2493 182
414 317.638 2495 182
415 317.717 2495 182
416 317.72 2495 182
417 317.837 2496 182
418 317.908 2525 176
419 317.99 2525 176
420 317.994 2525 176
421 318.074 2525 176
422 318.08 2526 177
423 324.73 2553 170
424 326.765 2555 171
425 326.844 2555 171
426 326.847 2555 171
427 326.96 2556 171
428 327.038 2585 159
429 327.12 2585 159
430 327.123 2585 159
431 327.203 2585 159
432 327.209 2586 159
433 332.29 2614 168
434 333.331 2615 169
435 333.436 2615 169
436 333.439 2615 169
437 333.578 2616 170
438 333.684 2645 187
439 333.767 2645 187
440 333.771 2645 187
441 333.853 2645 187
442 333.859 2646 184
443 338.869 2673 189
444 339.899 2675 191
445 339.985 2675 191
446 339.989 2675 191
447 340.109 2676 187
448 340.208 2705 190
449 340.356 2705 190
450 340.362 2705 190
451 340.499 2705 190
452 340.505 2706 189
453 345.407 2731 182
454 346.737 2735 180
455 346.851 2735 180
456 346.854 2735 180
457 346.969 2736 181
458 347.042 2765 176
459 347.125 2765 176
460 347.128 2765 176
461 347.211 2765 176
462 347.217 2766 177
463 351.866 2794 183
464 352.974 2795 184
465 353.057 2795 184
466 353.06 2795 184
467 353.18 2796 184
468 353.249 2825 184
469 353.329 2825 184
470 353.332 2825 184
471 353.412 2825 184
472 353.419 2826 185
473 359.399 2854 189
474 360.682 2855 190
475 360.817 2855 190
476 360.821 2855 190
477 361.006 2856 189
478 361.111 2885 200
479 361.2 2885 200
480 361.205 2885 200
481 361.288 2885 200
482 361.294 2886 201
483 368.177 2912 191
484 370.073 2915 193
485 370.159 2915 193
486 370.162 2915 193
487 370.276 2916 192
488 370.354 2945 184
489 370.43 2945 184
490 370.433 2945 184
491 370.507 2945 184
492 370.512 2946 185
493 376.002 2973 177
494 377.239 2975 173
495 377.312 2975 173
496 377.315 2975 173
497 377.441 2976 174
498 377.541 3005 157
499 377.652 3005 157
